ACC,   0.352,   0.594,  10.005,20181010_034103
GYR,  31.491, -19.244,  56.421,20181010_034103
MAG,-1020.912,-368.698,1061.101,20181010_034103
FUS,-126.038,  -1.550,  -4.098,20181010_034103
ACC,   0.335,   0.591,  10.020,20181010_034103
GYR,  15.308, -20.557,  34.990,20181010_034103
MAG,-1021.634,-368.337,1061.800,20181010_034103
FUS,-135.968,  -1.838, -14.445,20181010_034103
ACC,   0.340,   0.570,   9.998,20181010_034104
GYR,  13.996, -20.557,  35.427,20181010_034104
MAG,-1022.175,-367.795,1060.927,20181010_034104
FUS,-138.827,   0.451,  -1.604,20181010_034104
ACC,   0.326,   0.599,  10.025,20181010_034104
GYR,  23.181, -22.306,  47.236,20181010_034104
MAG,-1020.912,-367.615,1062.498,20181010_034104
FUS,-139.026,  -5.772,  -5.605,20181010_034104
ACC,   0.345,   0.608,  10.015,20181010_034104
GYR,  39.364, -12.684,  35.427,20181010_034104
MAG,-1020.731,-367.795,1061.625,20181010_034104
FUS,-142.925,  -0.228,   1.148,20181010_034104
ACC,   0.328,   0.572,   9.960,20181010_034105
GYR,  35.865, -24.493,  51.173,20181010_034105
MAG,-1020.912,-367.254,1062.847,20181010_034105
FUS,-141.248,  -7.903,  -1.000,20181010_034105
ACC,   0.364,   0.599,   9.986,20181010_034105
GYR,  14.433, -16.620,  41.550,20181010_034105
MAG,-1020.731,-368.156,1063.371,20181010_034105
FUS,-142.682,  -4.187,  -7.264,20181010_034105
ACC,   0.354,   0.654,  10.003,20181010_034105
GYR,  26.680, -23.181,  50.735,20181010_034105
MAG,-1021.092,-367.795,1062.323,20181010_034105
FUS,-141.827,  -3.109,  -1.135,20181010_034105
ACC,   0.364,   0.582,   9.965,20181010_034106
GYR,  40.676, -15.308,  43.300,20181010_034106
MAG,-1020.370,-366.712,1063.371,20181010_034106
FUS,-143.059,  -3.652,   0.663,20181010_034106
ACC,   0.350,   0.601,   9.946,20181010_034106
GYR,  31.491, -15.745,  34.552,20181010_034106
MAG,-1021.273,-367.254,1063.196,20181010_034106
FUS,-146.814,  -4.758,  -1.765,20181010_034106
ACC,   0.345,   0.589,  10.034,20181010_034106
GYR,  40.676, -22.306,  59.045,20181010_034106
MAG,-1021.814,-367.434,1061.625,20181010_034106
FUS,-142.731,  -5.895,   1.263,20181010_034106
ACC,   0.373,   0.601,   9.996,20181010_034107
GYR,  27.117,  -8.310,  45.487,20181010_034107
MAG,-1021.634,-366.532,1062.847,20181010_034107
FUS,-142.606,  -2.580,  -3.234,20181010_034107
ACC,   0.388,   0.582,  10.015,20181010_034107
GYR,  27.992,  -5.248,  47.236,20181010_034107
MAG,-1021.634,-366.893,1062.149,20181010_034107
FUS,-143.138,   0.069,  -2.928,20181010_034107
ACC,   0.371,   0.634,   9.979,20181010_034107
GYR,  26.680, -15.308,  51.610,20181010_034107
MAG,-1021.814,-366.712,1061.276,20181010_034107
FUS,-142.293,  -3.761,  -3.042,20181010_034107
ACC,   0.321,   0.553,   9.974,20181010_034108
GYR,  22.306, -30.179,  45.924,20181010_034108
MAG,-1021.453,-367.434,1061.276,20181010_034108
FUS,-142.536,  -7.269,  -4.927,20181010_034108
ACC,   0.345,   0.582,  10.041,20181010_034108
GYR,  18.370, -26.242,  41.113,20181010_034108
MAG,-1021.634,-367.254,1062.847,20181010_034108
FUS,-144.061,  -5.370,  -5.088,20181010_034108
ACC,   0.335,   0.589,   9.962,20181010_034108
GYR,  34.552, -14.433,  52.047,20181010_034108
MAG,-1020.551,-366.532,1061.800,20181010_034108
FUS,-142.541,  -1.436,   0.064,20181010_034109
ACC,   0.306,   0.601,   9.955,20181010_034109
GYR,  17.932, -29.741,  37.177,20181010_034109
MAG,-1019.829,-367.615,1062.149,20181010_034109
FUS,-145.312,  -9.163,  -6.518,20181010_034109
ACC,   0.359,   0.577,  10.003,20181010_034109
GYR,  13.996, -12.246,  42.862,20181010_034109
MAG,-1022.897,-367.073,1061.974,20181010_034109
FUS,-146.226,  -0.989,  -5.464,20181010_034109
ACC,   0.338,   0.584,  10.005,20181010_034110
GYR,  16.620, -15.745,  48.111,20181010_034110
MAG,-1020.551,-367.254,1063.196,20181010_034110
FUS,-146.209,  -2.987,  -4.500,20181010_034110
