ACC,   0.345,   0.594,  10.039,20181010_030538
GYR,  34.990, -24.055,  38.926,20181010_030538
MAG,-1021.995,-367.615,1062.847,20181010_030538
FUS,-132.021,  -1.378,  -1.858,20181010_030538
ACC,   0.316,   0.546,  10.048,20181010_030539
GYR,  30.616, -15.308,  31.053,20181010_030539
MAG,-1020.551,-366.893,1061.450,20181010_030539
FUS,-143.652,  -2.507,  -6.241,20181010_030539
ACC,   0.323,   0.603,   9.991,20181010_030539
GYR,  26.680, -10.497,  58.171,20181010_030539
MAG,-1021.634,-366.532,1062.498,20181010_030539
FUS,-140.912,   0.257,  -1.684,20181010_030539
ACC,   0.321,   0.572,  10.032,20181010_030539
GYR,  31.928, -27.554,  47.236,20181010_030539
MAG,-1020.009,-365.630,1062.673,20181010_030539
FUS,-141.031,  -7.750,  -2.511,20181010_030539
ACC,   0.318,   0.584,   9.967,20181010_030540
GYR,  14.871, -20.994,  40.676,20181010_030540
MAG,-1021.634,-366.532,1062.149,20181010_030540
FUS,-142.700,  -4.719,  -6.790,20181010_030540
ACC,   0.335,   0.584,   9.969,20181010_030540
GYR,  14.871, -19.244,  47.236,20181010_030540
MAG,-1022.355,-366.171,1062.149,20181010_030540
FUS,-142.905,  -2.063,  -5.438,20181010_030540
ACC,   0.323,   0.551,   9.936,20181010_030540
GYR,  41.550,   2.624,  57.296,20181010_030540
MAG,-1021.814,-367.434,1063.022,20181010_030540
FUS,-140.392,   4.043,   2.308,20181010_030540
ACC,   0.369,   0.572,   9.967,20181010_030541
GYR,  10.934,  -5.248,  59.483,20181010_030541
MAG,-1021.453,-368.156,1062.323,20181010_030541
FUS,-135.046,  -2.492,  -8.742,20181010_030541
ACC,   0.371,   0.587,   9.984,20181010_030541
GYR,  29.304, -25.368,  46.799,20181010_030541
MAG,-1021.273,-368.337,1063.546,20181010_030541
FUS,-136.087,  -2.152,  -1.438,20181010_030541
ACC,   0.364,   0.582,   9.943,20181010_030541
GYR,  23.618, -16.620,  49.423,20181010_030541
