ACC,   0.338,   0.546,   9.986,20181010_015450
GYR,  26.680, -28.429,  51.610,20181010_015450
MAG,-1021.273,-367.976,1063.895,20181010_015450
FUS,-127.521,  -4.780,  -5.936,20181010_015450
ACC,   0.311,   0.560,   9.957,20181010_015450
GYR,  20.557,  -9.185,  54.234,20181010_015450
MAG,-1021.634,-367.976,1062.149,20181010_015450
FUS,-125.350,  11.245,  -7.743,20181010_015450
ACC,   0.335,   0.532,   9.960,20181010_015450
GYR,  25.368, -15.308,  52.922,20181010_015450
MAG,-1023.438,-368.698,1062.149,20181010_015450
FUS,-123.493,  -5.272,  -2.748,20181010_015450
ACC,   0.357,   0.546,  10.010,20181010_015451
GYR,  29.304, -17.932,  53.359,20181010_015451
MAG,-1022.175,-368.156,1063.022,20181010_015451
FUS,-121.388,  -0.722,  -5.017,20181010_015451
ACC,   0.326,   0.551,  10.032,20181010_015451
GYR,  24.055, -23.618,  66.043,20181010_015451
MAG,-1020.731,-366.712,1063.371,20181010_015451
FUS,-116.409,   0.181,  -7.132,20181010_015451
ACC,   0.350,   0.548,  10.001,20181010_015451
GYR,  18.807, -31.928,  41.550,20181010_015452
MAG,-1021.634,-369.059,1063.196,20181010_015452
FUS,-119.385,  -1.178,  -8.722,20181010_015452
ACC,   0.316,   0.510,  10.001,20181010_015452
GYR,  24.493, -21.869,  48.986,20181010_015452
MAG,-1021.273,-366.171,1062.149,20181010_015452
FUS,-120.255,   2.876,  -5.954,20181010_015452
ACC,   0.347,   0.551,   9.996,20181010_015452
GYR,  34.115,   3.936,  49.423,20181010_015452
MAG,-1022.355,-367.615,1062.149,20181010_015452
FUS,-122.224,   8.250,  -4.202,20181010_015452
ACC,   0.338,   0.570,  10.022,20181010_015453
GYR,  32.366, -11.372,  50.735,20181010_015453
MAG,-1022.897,-367.434,1062.673,20181010_015453
FUS,-122.245,  -0.773,  -4.421,20181010_015453
ACC,   0.362,   0.567,   9.969,20181010_015453
GYR,  30.616,  -2.624,  40.676,20181010_015453
MAG,-1021.092,-367.795,1062.673,20181010_015453
FUS,-126.018,   5.555,  -5.137,20181010_015453
ACC,   0.362,   0.567,   9.972,20181010_015453
GYR,  36.302, -24.055,  41.988,20181010_015453
MAG,-1022.897,-367.795,1062.323,20181010_015453
FUS,-129.308,  -4.328,  -2.595,20181010_015453
ACC,   0.318,   0.555,  10.005,20181010_015454
GYR,  20.557, -13.559,  38.051,20181010_015454
MAG,-1021.634,-368.698,1062.498,20181010_015454
FUS,-132.795,  -0.285,  -7.329,20181010_015454
ACC,   0.338,   0.546,   9.929,20181010_015454
GYR,  26.680, -21.869,  49.423,20181010_015454
MAG,-1019.648,-368.156,1064.768,20181010_015454
FUS,-133.550,  -1.367,  -3.699,20181010_015454
ACC,   0.342,   0.567,   9.969,20181010_015454
GYR,  15.745, -15.745,  52.922,20181010_015454
MAG,-1020.731,-368.156,1063.720,20181010_015454
FUS,-132.683,  -1.080,  -8.350,20181010_015454
ACC,   0.326,   0.558,   9.943,20181010_015455
GYR,  27.117, -18.370,  49.423,20181010_015455
MAG,-1020.731,-367.795,1063.022,20181010_015455
FUS,-133.471,   0.571,  -2.678,20181010_015455
ACC,   0.297,   0.546,   9.965,20181010_015455
GYR,  28.429, -31.928,  47.674,20181010_015455
MAG,-1021.092,-368.156,1062.323,20181010_015455
FUS,-133.719,  -6.849,  -4.729,20181010_015455
ACC,   0.299,   0.522,  10.015,20181010_015455
GYR,  35.865, -13.559,  48.986,20181010_015455
MAG,-1022.716,-368.337,1062.498,20181010_015455
FUS,-133.090,  -0.081,  -1.587,20181010_015455
ACC,   0.338,   0.551,   9.998,20181010_015456
GYR,  21.869, -27.992,  48.986,20181010_015456
MAG,-1020.912,-367.976,1062.149,20181010_015456
FUS,-132.581,  -6.503,  -7.208,20181010_015456
ACC,   0.354,   0.608,   9.979,20181010_015456
GYR,  26.242, -31.053,  60.357,20181010_015456
MAG,-1022.355,-369.059,1063.546,20181010_015456
FUS,-128.523,  -3.969,  -4.135,20181010_015456
ACC,   0.328,   0.584,   9.931,20181010_015456
GYR,  30.616, -17.058,  41.113,20181010_015456
MAG,-1021.995,-367.615,1063.196,20181010_015456
FUS,-131.194,  -0.353,  -3.749,20181010_015456
ACC,   0.328,   0.527,   9.965,20181010_015457
GYR,  25.368, -19.682,  52.047,20181010_015457
MAG,-1021.634,-369.420,1062.498,20181010_015457
FUS,-130.535,  -1.952,  -5.944,20181010_015457
ACC,   0.316,   0.570,   9.965,20181010_015457
GYR,  11.809, -11.372,  35.865,20181010_015457
MAG,-1022.175,-369.239,1062.673,20181010_015457
FUS,-135.641,   1.555,  -9.300,20181010_015457
ACC,   0.345,   0.563,   9.986,20181010_015458
GYR,  37.614,  -7.873,  62.107,20181010_015458
MAG,-1020.912,-367.254,1063.196,20181010_015458
FUS,-132.749,   2.476,   2.827,20181010_015458
ACC,   0.347,   0.560,   9.955,20181010_015458
GYR,  38.489, -18.807,  45.487,20181010_015458
MAG,-1022.175,-366.712,1062.673,20181010_015458
FUS,-132.643,  -5.517,  -0.701,20181010_015458
ACC,   0.357,   0.522,   9.948,20181010_015458
GYR,  30.179, -20.557,  36.739,20181010_015458
MAG,-1020.731,-367.434,1063.371,20181010_015458
FUS,-135.607,  -4.493,  -3.451,20181010_015458
ACC,   0.326,   0.577,   9.972,20181010_015459
GYR,  24.493, -20.557,  43.737,20181010_015459
MAG,-1020.912,-369.420,1063.546,20181010_015459
FUS,-137.093,  -2.990,  -5.015,20181010_015459
ACC,   0.373,   0.579,   9.919,20181010_015459
GYR,   3.062, -14.871,  43.737,20181010_015459
MAG,-1021.995,-367.615,1063.546,20181010_015459
FUS,-139.186,  -1.212, -11.049,20181010_015459
ACC,   0.352,   0.582,  10.034,20181010_015459
GYR,  26.242, -13.996,  47.674,20181010_015459
MAG,-1020.551,-367.254,1063.546,20181010_015459
FUS,-139.500,   1.104,   0.597,20181010_015459
ACC,   0.330,   0.541,  10.001,20181010_015500
GYR,  34.552, -24.493,  42.425,20181010_015500
MAG,-1021.995,-366.532,1062.149,20181010_015500
FUS,-140.743,  -7.806,  -2.009,20181010_015500
ACC,   0.352,   0.579,   9.977,20181010_015500
GYR,  35.427, -16.183,  59.045,20181010_015500
MAG,-1022.355,-366.532,1062.847,20181010_015500
FUS,-136.419,  -3.331,  -1.014,20181010_015500
ACC,   0.287,   0.517,   9.986,20181010_015500
GYR,  13.996, -18.807,  62.107,20181010_015500
MAG,-1023.077,-367.976,1062.149,20181010_015500
FUS,-131.320,  -3.150,  -9.386,20181010_015500
ACC,   0.314,   0.572,   9.981,20181010_015501
GYR,  31.928, -17.932,  54.672,20181010_015501
MAG,-1022.355,-367.976,1063.546,20181010_015501
FUS,-129.964,   1.803,  -1.264,20181010_015501
ACC,   0.330,   0.548,   9.998,20181010_015501
GYR,  15.745,  -4.374,  63.419,20181010_015501
MAG,-1021.453,-367.073,1062.323,20181010_015501
FUS,-125.386,   1.937,  -9.177,20181010_015501
ACC,   0.294,   0.560,  10.003,20181010_015501
GYR,  24.493, -20.119,  41.550,20181010_015501
MAG,-1022.175,-367.795,1062.323,20181010_015501
FUS,-129.545,   1.282,  -4.020,20181010_015501
ACC,   0.352,   0.577,   9.929,20181010_015502
GYR,  22.306, -26.242,  53.797,20181010_015502
MAG,-1019.648,-365.991,1061.625,20181010_015502
FUS,-128.457,  -4.016,  -6.889,20181010_015502
ACC,   0.309,   0.553,   9.998,20181010_015502
GYR,  28.429, -20.994,  57.733,20181010_015502
MAG,-1021.273,-366.532,1062.498,20181010_015502
FUS,-125.874,   0.298,  -4.164,20181010_015502
ACC,   0.342,   0.563,  10.029,20181010_015502
GYR,  21.869,  -2.624,  37.177,20181010_015502
MAG,-1022.175,-367.795,1063.720,20181010_015502
FUS,-130.975,   4.320,  -7.877,20181010_015502
ACC,   0.366,   0.555,  10.032,20181010_015503
GYR,  22.743, -21.431,  38.051,20181010_015503
MAG,-1023.258,-366.352,1063.371,20181010_015503
