ACC,   0.089,   0.239,   9.967,20181010_005006
GYR,  24.055,  -6.123,  45.924,20181010_005006
MAG,-922.917,-175.777,1078.388,20181010_005006
FUS,-102.304,  11.333,  -7.969,20181010_005006
ACC,   0.117,   0.242,  10.008,20181010_005007
GYR,  27.992, -19.682,  52.485,20181010_005007
MAG,-920.932,-177.762,1077.165,20181010_005007
FUS,-103.861,  -5.486,   0.551,20181010_005007
ACC,   0.084,   0.256,   9.917,20181010_005007
GYR,  22.306, -25.805,  53.797,20181010_005007
MAG,-922.556,-176.859,1079.435,20181010_005007
FUS, -97.823,  -0.433,  -6.868,20181010_005007
ACC,   0.050,   0.239,   9.953,20181010_005007
GYR,  22.743, -12.684,  38.489,20181010_005007
MAG,-922.195,-177.220,1077.689,20181010_005007
FUS, -98.944,  11.680,  -7.245,20181010_005007
ACC,   0.103,   0.280,  10.010,20181010_005008
GYR,  25.805,   2.624,  51.173,20181010_005008
MAG,-921.112,-176.137,1078.388,20181010_005008
FUS,-100.686,   9.860,  -5.261,20181010_005008
ACC,   0.105,   0.254,   9.977,20181010_005008
GYR,  21.869, -18.807,  49.423,20181010_005008
MAG,-922.015,-177.040,1076.816,20181010_005008
FUS,-100.833,   4.983,  -9.224,20181010_005008
ACC,   0.072,   0.294,   9.938,20181010_005009
GYR,  15.308,  -6.561,  34.990,20181010_005009
MAG,-922.556,-176.137,1076.991,20181010_005009
FUS,-106.019,  14.814,  -7.918,20181010_005009
ACC,   0.084,   0.297,   9.926,20181010_005009
GYR,  36.302, -10.497,  52.047,20181010_005009
MAG,-921.293,-176.679,1079.261,20181010_005009
FUS,-103.707,  -3.132,   3.558,20181010_005009
ACC,   0.091,   0.242,  10.013,20181010_005009
GYR,  29.741, -12.684,  32.803,20181010_005009
MAG,-922.376,-176.679,1077.864,20181010_005009
FUS,-104.431,   2.943,  -3.543,20181010_005009
ACC,   0.110,   0.268,   9.957,20181010_005010
GYR,  31.928, -13.121,  56.858,20181010_005010
MAG,-921.112,-177.220,1077.689,20181010_005010
