ACC,   0.354,   0.644,  10.015,20181009_233934
GYR,  24.055, -25.368,  51.173,20181009_233934
MAG,-976.877,-202.666,1052.021,20181009_233934
FUS, -70.828,   6.076,  -4.003,20181009_233934
ACC,   0.364,   0.646,   9.931,20181009_233935
GYR,  18.807, -23.181,  56.858,20181009_233935
MAG,-976.336,-203.208,1052.545,20181009_233935
FUS, -60.428,  23.756,  -7.599,20181009_233935
ACC,   0.354,   0.654,  10.010,20181009_233935
GYR,  33.678, -11.372,  42.425,20181009_233935
MAG,-975.614,-202.486,1053.942,20181009_233935
FUS, -51.485,  -3.738,  13.498,20181009_233935
ACC,   0.397,   0.625,   9.986,20181009_233935
GYR,  31.053, -24.930,  63.856,20181009_233935
MAG,-976.516,-201.584,1054.117,20181009_233935
FUS, -34.831,  -1.050,   5.472,20181009_233935
ACC,   0.381,   0.627,   9.946,20181009_233936
GYR,  24.493, -10.934,  49.860,20181009_233936
MAG,-977.599,-203.388,1053.418,20181009_233936
FUS, -21.788,  14.211,   3.463,20181009_233936
ACC,   0.350,   0.675,   9.986,20181009_233936
GYR,  20.994,  -7.873,  46.361,20181009_233936
MAG,-977.058,-204.291,1052.545,20181009_233936
FUS, -10.901,  26.280,  -2.943,20181009_233936
ACC,   0.364,   0.654,  10.013,20181009_233936
GYR,  18.370, -14.433,  40.676,20181009_233936
MAG,-977.960,-204.110,1055.164,20181009_233936
FUS,   4.229,  -4.545,  11.345,20181009_233936
ACC,   0.371,   0.651,   9.996,20181009_233937
GYR,  20.557,  -7.435,  60.795,20181009_233937
MAG,-977.780,-200.681,1053.593,20181009_233937
FUS,  30.386,  10.481,  11.809,20181009_233937
ACC,   0.378,   0.654,  10.008,20181009_233937
GYR,  12.684, -27.554,  41.113,20181009_233937
MAG,-976.877,-201.945,1053.418,20181009_233937
FUS,  52.438,  15.339,   8.641,20181009_233937
ACC,   0.364,   0.630,  10.010,20181009_233937
GYR,  29.741,  -4.374,  50.735,20181009_233937
MAG,-976.697,-202.486,1053.593,20181009_233937
FUS,  86.426,  13.112,  19.811,20181009_233937
ACC,   0.338,   0.632,   9.989,20181009_233938
GYR,   9.622, -27.992,  52.922,20181009_233938
MAG,-976.516,-200.862,1053.069,20181009_233938
FUS, 110.712,  -1.472,   7.796,20181009_233938
ACC,   0.364,   0.656,   9.955,20181009_233938
GYR,  24.930, -15.308,  41.988,20181009_233938
MAG,-976.155,-203.749,1052.720,20181009_233938
FUS, 135.440,  -2.200,  20.261,20181009_233938
ACC,   0.366,   0.642,   9.986,20181009_233938
GYR,  33.678, -19.244,  61.670,20181009_233938
MAG,-976.697,-201.764,1052.895,20181009_233938
FUS, 157.759, -10.132,  12.890,20181009_233938
ACC,   0.357,   0.620,  10.001,20181009_233939
GYR,  19.244,  -8.747,  61.232,20181009_233939
MAG,-976.516,-201.584,1053.069,20181009_233939
FUS, 177.226,  -6.265,   5.734,20181009_233939
ACC,   0.354,   0.678,   9.938,20181009_233939
GYR,  34.990, -29.741,  69.980,20181009_233939
MAG,-977.238,-203.749,1054.466,20181009_233939
FUS,-166.934, -12.488,   6.485,20181009_233939
ACC,   0.352,   0.675,  10.005,20181009_233939
GYR,  10.934,  -6.123,  38.051,20181009_233939
MAG,-976.336,-202.486,1052.545,20181009_233939
FUS,-163.890,  -4.604,  -2.070,20181009_233939
ACC,   0.381,   0.630,   9.986,20181009_233940
GYR,  20.557, -12.246,  48.986,20181009_233940
MAG,-976.155,-202.666,1051.323,20181009_233940
FUS,-158.411,  -4.038,   2.114,20181009_233940
ACC,   0.376,   0.625,   9.998,20181009_233940
GYR,  24.493, -22.743,  58.608,20181009_233940
MAG,-976.336,-203.208,1052.895,20181009_233940
FUS,-151.214,  -8.341,  -0.953,20181009_233940
ACC,   0.352,   0.608,   9.979,20181009_233940
GYR,  27.117, -15.745,  53.359,20181009_233941
MAG,-977.058,-202.847,1052.895,20181009_233941
FUS,-146.467,  -3.860,  -0.236,20181009_233941
ACC,   0.347,   0.630,  10.015,20181009_233941
GYR,  27.992,  -8.747,  48.986,20181009_233941
MAG,-976.877,-201.223,1052.021,20181009_233941
FUS,-144.154,  -1.546,  -0.907,20181009_233941
ACC,   0.366,   0.639,  10.022,20181009_233941
GYR,  41.113, -22.743,  50.735,20181009_233941
MAG,-977.599,-203.388,1053.768,20181009_233941
FUS,-141.790,  -6.000,   2.881,20181009_233941
ACC,   0.366,   0.646,  10.020,20181009_233942
GYR,  13.559, -16.183,  31.053,20181009_233942
MAG,-975.975,-203.208,1053.942,20181009_233942
FUS,-144.900,  -4.909,  -5.708,20181009_233942
ACC,   0.345,   0.615,  10.001,20181009_233942
GYR,  20.557, -18.807,  56.421,20181009_233942
MAG,-976.336,-202.486,1052.895,20181009_233942
FUS,-140.111,  -1.893,  -1.142,20181009_233942
ACC,   0.338,   0.663,   9.917,20181009_233942
GYR,  15.745, -10.934,  71.292,20181009_233942
MAG,-975.434,-201.584,1053.418,20181009_233942
FUS,-131.950,  -0.623,  -5.514,20181009_233942
ACC,   0.383,   0.654,  10.001,20181009_233943
GYR,  20.557, -10.060,  43.300,20181009_233943
MAG,-976.155,-202.666,1052.720,20181009_233943
FUS,-133.538,   1.929,  -3.434,20181009_233943
ACC,   0.371,   0.661,   9.998,20181009_233943
GYR,  28.429, -15.308,  45.924,20181009_233943
MAG,-974.351,-202.666,1053.418,20181009_233943
FUS,-134.134,  -1.753,  -1.653,20181009_233943
ACC,   0.362,   0.666,   9.965,20181009_233943
GYR,  36.302, -17.932,  56.421,20181009_233943
MAG,-977.419,-202.486,1052.196,20181009_233943
FUS,-130.845,  -2.105,   0.065,20181009_233943
ACC,   0.385,   0.646,  10.005,20181009_233944
GYR,  34.552, -20.994,  45.924,20181009_233944
MAG,-977.419,-201.764,1053.244,20181009_233944
FUS,-130.535,  -3.467,  -1.107,20181009_233944
ACC,   0.357,   0.646,  10.020,20181009_233944
GYR,  14.871, -15.745,  47.674,20181009_233944
MAG,-976.877,-203.027,1053.418,20181009_233944
FUS,-129.823,  -0.907,  -7.330,20181009_233944
ACC,   0.373,   0.634,   9.981,20181009_233944
GYR,  26.242, -25.805,  57.733,20181009_233944
MAG,-976.336,-202.125,1054.291,20181009_233944
FUS,-126.676,  -1.211,  -1.118,20181009_233944
ACC,   0.357,   0.646,   9.991,20181009_233945
GYR,  12.246, -24.055,  48.548,20181009_233945
MAG,-976.336,-204.291,1053.244,20181009_233945
FUS,-125.771,  -2.929,  -8.875,20181009_233945
ACC,   0.385,   0.651,   9.960,20181009_233945
GYR,  36.302, -12.684,  73.479,20181009_233945
MAG,-977.058,-202.847,1052.196,20181009_233945
FUS,-117.683,   4.406,   2.037,20181009_233945
ACC,   0.354,   0.646,   9.946,20181009_233945
