ACC,   0.421,   0.680,  10.010,20181009_225818
GYR,  27.554, -17.932,  46.361,20181009_225818
MAG,-975.614,-203.930,1051.148,20181009_225818
FUS,-147.656,  -3.320,   2.611,20181009_225818
ACC,   0.414,   0.663,  10.003,20181009_225818
GYR,  20.994, -19.682,  53.359,20181009_225818
MAG,-978.141,-204.652,1054.641,20181009_225818
FUS,-139.428,  -9.469,  -9.548,20181009_225818
ACC,   0.390,   0.682,   9.969,20181009_225818
GYR,  16.183, -33.240,  59.483,20181009_225818
MAG,-977.058,-202.847,1054.990,20181009_225818
FUS,-133.091,  -5.333,  -3.139,20181009_225818
ACC,   0.369,   0.637,  10.001,20181009_225819
GYR,  17.495, -19.682,  46.799,20181009_225819
MAG,-975.434,-203.749,1050.974,20181009_225819
FUS,-132.521,  -1.796,  -5.575,20181009_225819
ACC,   0.385,   0.625,   9.922,20181009_225819
GYR,  26.242, -16.620,  48.986,20181009_225819
MAG,-977.780,-205.012,1053.244,20181009_225819
FUS,-132.011,   0.105,  -1.883,20181009_225819
ACC,   0.397,   0.654,   9.996,20181009_225819
GYR,  20.119, -27.117,  44.612,20181009_225819
MAG,-975.253,-202.847,1053.244,20181009_225819
FUS,-132.454,  -5.025,  -5.279,20181009_225819
ACC,   0.378,   0.637,   9.981,20181009_225820
GYR,  20.119, -18.370,  41.988,20181009_225820
MAG,-977.058,-205.373,1052.545,20181009_225820
FUS,-133.692,  -0.322,  -3.885,20181009_225820
ACC,   0.385,   0.651,   9.969,20181009_225820
GYR,  20.994, -13.121,  53.359,20181009_225820
MAG,-975.434,-204.110,1052.021,20181009_225820
FUS,-131.950,   0.070,  -3.927,20181009_225820
ACC,   0.369,   0.644,   9.996,20181009_225820
GYR,  25.368, -51.610,  39.364,20181009_225820
MAG,-975.073,-202.666,1052.371,20181009_225820
FUS,-133.902, -11.454,  -2.708,20181009_225820
ACC,   0.366,   0.646,   9.974,20181009_225821
GYR,  28.429, -14.871,  59.920,20181009_225821
MAG,-975.975,-203.930,1052.196,20181009_225821
FUS,-127.832,  -2.003,  -2.182,20181009_225821
ACC,   0.330,   0.673,   9.969,20181009_225821
GYR,  34.990, -13.121,  55.984,20181009_225821
MAG,-977.419,-203.930,1053.593,20181009_225821
FUS,-124.937,   1.075,  -0.876,20181009_225821
ACC,   0.383,   0.644,   9.986,20181009_225822
GYR,  13.121, -24.493,  55.109,20181009_225822
MAG,-977.780,-204.652,1053.942,20181009_225822
FUS,-121.972,  -3.158,  -9.087,20181009_225822
ACC,   0.350,   0.627,  10.003,20181009_225822
GYR,  32.366, -19.244,  54.672,20181009_225822
MAG,-974.351,-203.027,1053.418,20181009_225822
FUS,-119.429,   3.228,   0.084,20181009_225822
ACC,   0.397,   0.687,   9.981,20181009_225822
GYR,  23.181, -20.557,  53.359,20181009_225822
MAG,-975.253,-203.930,1050.799,20181009_225822
FUS,-117.271,  -1.528,  -6.031,20181009_225822
ACC,   0.373,   0.668,  10.017,20181009_225823
GYR,  25.805, -13.996,  56.421,20181009_225823
MAG,-975.614,-203.569,1052.196,20181009_225823
FUS,-114.923,   5.035,  -3.504,20181009_225823
ACC,   0.383,   0.646,   9.991,20181009_225823
GYR,  32.803, -18.807,  51.173,20181009_225823
MAG,-976.877,-204.832,1052.371,20181009_225823
FUS,-114.900,   1.171,  -3.080,20181009_225823
ACC,   0.376,   0.634,   9.950,20181009_225823
GYR,  38.051, -13.996,  71.729,20181009_225823
MAG,-976.697,-204.652,1052.196,20181009_225823
FUS,-107.711,   3.867,  -1.052,20181009_225823
ACC,   0.338,   0.661,  10.025,20181009_225824
GYR,  31.053, -12.684,  57.733,20181009_225824
MAG,-976.877,-204.110,1053.418,20181009_225824
FUS,-104.403,   4.971,  -4.324,20181009_225824
ACC,   0.373,   0.654,  10.029,20181009_225824
GYR,  19.244, -20.994,  57.733,20181009_225824
MAG,-977.058,-205.012,1052.895,20181009_225824
FUS,-102.422,   4.606,  -7.624,20181009_225824
ACC,   0.383,   0.642,   9.957,20181009_225824
GYR,  34.115, -21.869,  47.236,20181009_225824
MAG,-976.155,-204.471,1052.720,20181009_225824
FUS,-104.239,   6.562,  -1.047,20181009_225824
ACC,   0.390,   0.654,   9.943,20181009_225825
GYR,  32.366,  -6.123,  51.610,20181009_225825
MAG,-976.697,-202.847,1053.593,20181009_225825
FUS,-103.317,   6.716,  -4.635,20181009_225825
ACC,   0.395,   0.658,  10.032,20181009_225825
GYR,  23.618, -13.559,  53.797,20181009_225825
MAG,-974.892,-204.291,1052.545,20181009_225825
FUS,-103.316,   6.263,  -6.318,20181009_225825
ACC,   0.369,   0.678,   9.890,20181009_225825
GYR,  33.240, -12.684,  49.423,20181009_225825
MAG,-977.419,-202.847,1053.593,20181009_225825
FUS,-105.276,   7.905,  -1.713,20181009_225825
ACC,   0.369,   0.639,   9.965,20181009_225826
GYR,  -3.499, -17.495,  31.928,20181009_225826
MAG,-975.795,-203.388,1052.720,20181009_225826
FUS,-110.162,   1.567, -16.504,20181009_225826
ACC,   0.383,   0.663,  10.005,20181009_225826
GYR,  17.932,  -4.811,  58.171,20181009_225826
MAG,-975.614,-204.652,1052.545,20181009_225826
FUS,-105.202,  12.449,   1.579,20181009_225826
ACC,   0.362,   0.670,   9.936,20181009_225826
GYR,  22.743, -19.244,  57.733,20181009_225826
MAG,-976.516,-205.193,1052.371,20181009_225826
FUS, -99.348,  -2.046,  -6.751,20181009_225826
ACC,   0.393,   0.687,   9.991,20181009_225827
GYR,  17.058, -17.058,  40.238,20181009_225827
MAG,-976.516,-203.388,1053.418,20181009_225827
FUS,-101.469,   7.242,  -7.114,20181009_225827
ACC,   0.383,   0.666,   9.926,20181009_225827
GYR,  22.743, -17.932,  41.988,20181009_225827
MAG,-976.516,-202.666,1051.672,20181009_225827
FUS,-105.971,   6.167,  -4.745,20181009_225827
ACC,   0.354,   0.687,   9.996,20181009_225827
GYR,  32.366, -17.932,  55.984,20181009_225827
MAG,-975.975,-203.569,1054.291,20181009_225828
FUS,-105.148,   4.689,  -2.885,20181009_225828
ACC,   0.390,   0.666,   9.969,20181009_225828
GYR,  33.678, -15.745,  44.175,20181009_225828
MAG,-977.419,-202.847,1052.895,20181009_225828
FUS,-107.139,   4.872,  -3.705,20181009_225828
ACC,   0.395,   0.646,   9.993,20181009_225828
GYR,  25.368, -11.809,  48.986,20181009_225828
MAG,-977.238,-202.305,1053.069,20181009_225828
FUS,-108.074,   5.928,  -6.139,20181009_225828
ACC,   0.383,   0.622,   9.974,20181009_225829
GYR,  30.616,  -5.686,  47.674,20181009_225829
MAG,-977.058,-202.847,1053.244,20181009_225829
FUS,-110.468,   8.121,  -3.133,20181009_225829
ACC,   0.338,   0.663,   9.955,20181009_225829
GYR,  31.928, -14.871,  33.240,20181009_225829
MAG,-977.058,-204.652,1052.545,20181009_225829
FUS,-116.188,   1.682,  -4.249,20181009_225829
ACC,   0.340,   0.663,   9.917,20181009_225829
GYR,  13.121, -14.871,  58.171,20181009_225829
MAG,-977.238,-203.027,1052.720,20181009_225829
FUS,-113.753,   4.226,  -8.553,20181009_225829
ACC,   0.366,   0.651,   9.996,20181009_225830
GYR,  22.743, -21.869,  58.608,20181009_225830
MAG,-975.434,-203.027,1052.371,20181009_225830
FUS,-112.057,   3.630,  -2.271,20181009_225830
ACC,   0.371,   0.668,  10.013,20181009_225830
GYR,  17.932, -33.240,  48.111,20181009_225830
MAG,-975.795,-204.471,1053.768,20181009_225830
FUS,-111.961,  -2.484,  -8.202,20181009_225830
ACC,   0.340,   0.682,   9.986,20181009_225830
GYR,  29.741,  -6.998,  56.421,20181009_225830
MAG,-976.336,-204.291,1052.545,20181009_225830
FUS,-109.212,   9.659,  -1.361,20181009_225830
ACC,   0.347,   0.649,   9.969,20181009_225831
GYR,  43.300, -26.680,  49.423,20181009_225831
MAG,-976.877,-204.110,1052.021,20181009_225831
FUS,-108.945,  -3.012,  -0.645,20181009_225831
ACC,   0.373,   0.663,   9.960,20181009_225831
GYR,  13.996, -33.678,  62.982,20181009_225831
MAG,-975.795,-205.193,1054.117,20181009_225831
FUS,-102.618,  -2.884,  -9.053,20181009_225831
ACC,   0.333,   0.673,  10.034,20181009_225831
GYR,  15.308, -15.745,  58.608,20181009_225831
MAG,-975.253,-202.486,1051.847,20181009_225831
FUS, -98.624,   9.094,  -6.501,20181009_225831
ACC,   0.364,   0.632,   9.969,20181009_225832
GYR,  14.433,  -0.437,  55.546,20181009_225832
MAG,-977.419,-202.847,1052.545,20181009_225832
FUS, -99.717,  11.254,  -7.888,20181009_225832
ACC,   0.340,   0.644,   9.996,20181009_225832
GYR,  38.926,  -8.310,  41.550,20181009_225832
MAG,-976.336,-202.486,1053.244,20181009_225832
FUS,-105.645,   5.279,   2.924,20181009_225832
ACC,   0.350,   0.692,   9.905,20181009_225832
GYR,  23.181, -11.372,  67.793,20181009_225832
MAG,-976.336,-201.764,1052.895,20181009_225832
FUS, -97.589,   3.669,  -5.888,20181009_225832
ACC,   0.409,   0.627,   9.929,20181009_225833
GYR,  20.119, -18.370,  53.359,20181009_225833
MAG,-976.697,-203.569,1052.895,20181009_225833
FUS, -96.874,   8.391,  -6.803,20181009_225833
ACC,   0.350,   0.639,   9.960,20181009_225833
GYR,   8.747, -19.682,  50.298,20181009_225833
